1966,Alan Perlis
1967,Maurice Wilkes
1968,Richard Hamming
1969,Marvin Minsky
1970,James H. Wilkinson
1971,John McCarthy
1972,Edsger W. Dijkstra
1973,Charles Bachman
1974,Donald Knuth
1975,Allen Newell
1975,Herbert A. Simon
1976,Michael O. Rabin
1976,Dana Scott
1977,John Backus
1978,Robert W. Floyd
1979,Kenneth E. Iverson
1980,Tony Hoare
1981,Edgar F. Codd
1982,Stephen Cook
1983,Ken Thompson
1983,Dennis Ritchie
1984,Niklaus Wirth
1985,Richard M. Karp
1986,John Hopcroft
1986,Robert Tarjan
1987,John Cocke
1988,Ivan Sutherland
1989,William Kahan
1990,Fernando J. Corbató
1991,Robin Milner
1992,Butler W. Lampson
1993,Juris Hartmanis
1993,Richard E. Stearns
1994,Edward Feigenbaum
1994,Raj Reddy
1995,Manuel Blum
1996,Amir Pnueli
1997,Douglas Engelbart
1998,Jim Gray
1999,Frederick P. Brooks
2000,Andrew Yao
2001,Ole-Johan Dahl
2001,Kristen Nygaard
2002,Ron Rivest
2002,Adi Shamir
2002,Leonard Adleman
2003,Alan Kay
2004,Vint Cerf
2004,Bob Kahn
2005,Peter Naur
2006,Frances E. Allen
2007,Edmund M. Clarke
2007,E. Allen Emerson
2007,Joseph Sifakis
2008,Barbara Liskov
2009,Charles P. Thacker
2010,Leslie Valiant
2011,Judea Pearl[38]
2012,Silvio Micali
2012,Shafi Goldwasser
2013,Leslie Lamport
2014,Michael Stonebraker
2015,Whitfield Diffie
2015,Martin Hellman
2016,Tim Berners-Lee
2017,John L. Hennessy
2017,David Patterson
2018,Yoshua Bengio
2018,Geoffrey Hinton
2018,Yann LeCun
2019,Edwin Catmull
2019,Pat Hanrahan
2020,Alfred Aho
2020,Jeffrey Ullman
